##time,flux,flux_err
2.460093472955999896e+06,1.003168999999999977e+00,1.168999999999999900e-03
2.460093473670999985e+06,1.002555000000000085e+00,1.131000000000000061e-03
2.460093474386000074e+06,1.002072000000000074e+00,1.075999999999999917e-03
2.460093475099999923e+06,1.002026000000000083e+00,1.046999999999999971e-03
2.460093475815000013e+06,9.993830000000000213e-01,1.054999999999999948e-03
2.460093476528999861e+06,9.991649999999999698e-01,1.048000000000000103e-03
2.460093477243999951e+06,1.000656999999999908e+00,1.049000000000000019e-03
2.460093477957999799e+06,9.990609999999999769e-01,1.064999999999999974e-03
2.460093478672999889e+06,9.953920000000000545e-01,1.074000000000000085e-03
2.460093479387000203e+06,1.000736000000000070e+00,1.077999999999999965e-03
2.460093480101999827e+06,9.956099999999999950e-01,1.075000000000000001e-03
2.460093480816000141e+06,1.001055000000000028e+00,1.082000000000000062e-03
2.460093481531000230e+06,9.935640000000000027e-01,1.062999999999999926e-03
2.460093482245999854e+06,9.973140000000000338e-01,1.038999999999999993e-03
2.460093482960999943e+06,9.988869999999999694e-01,1.041000000000000042e-03
2.460093483674999792e+06,9.954210000000000003e-01,1.056999999999999997e-03
2.460093484389999881e+06,9.932199999999999918e-01,1.064000000000000059e-03
2.460093485104999971e+06,9.989770000000000039e-01,1.059000000000000045e-03
2.460093485818999819e+06,1.000623999999999958e+00,1.059000000000000045e-03
2.460093486533999909e+06,9.933049999999999935e-01,1.054000000000000032e-03
2.460093487248999998e+06,9.988639999999999741e-01,1.090999999999999956e-03
2.460093487962999847e+06,9.975309999999999455e-01,1.088999999999999907e-03
2.460093488677999936e+06,9.987519999999999731e-01,1.085000000000000027e-03
2.460093489393000025e+06,9.935019999999999962e-01,1.085000000000000027e-03
2.460093490106999874e+06,9.861950000000000438e-01,1.098999999999999934e-03
2.460093490821999963e+06,1.004831000000000030e+00,1.129999999999999928e-03
2.460093491535999812e+06,9.994159999999999711e-01,1.170000000000000033e-03
2.460093492250999901e+06,9.953469999999999818e-01,1.180000000000000059e-03
2.460093492965000216e+06,1.000779000000000085e+00,1.149000000000000065e-03
2.460093493679999840e+06,1.005152999999999963e+00,1.116999999999999937e-03
2.460093494394000154e+06,9.990909999999999513e-01,1.087000000000000076e-03
2.460093495108999778e+06,9.980149999999999855e-01,1.175999999999999962e-03
2.460093495823000092e+06,9.932299999999999462e-01,1.229999999999999974e-03
2.460093496538000181e+06,1.000572000000000017e+00,1.206999999999999957e-03
2.460093497252999805e+06,9.903830000000000133e-01,1.155999999999999910e-03
2.460093502255000174e+06,9.947030000000000038e-01,1.129000000000000012e-03
2.460093502969999798e+06,9.948669999999999458e-01,1.110000000000000092e-03
2.460093503684000112e+06,1.002729999999999899e+00,1.103999999999999947e-03
2.460093504399000201e+06,1.006380999999999970e+00,1.160999999999999923e-03
2.460093505113999825e+06,9.972879999999999523e-01,1.170000000000000033e-03
2.460093505828000139e+06,9.947160000000000446e-01,1.157999999999999958e-03
2.460093506543000229e+06,9.907420000000000115e-01,1.172000000000000082e-03
2.460093507257000078e+06,9.958169999999999522e-01,1.159000000000000091e-03
2.460093507972000167e+06,1.002153999999999989e+00,1.180999999999999975e-03
2.460093508686000016e+06,9.965880000000000294e-01,1.206000000000000041e-03
2.460093509401000105e+06,9.975629999999999775e-01,1.213000000000000102e-03
2.460093510114999954e+06,9.961410000000000542e-01,1.224000000000000045e-03
2.460093510830000043e+06,9.939700000000000202e-01,1.214999999999999934e-03
2.460093511545000132e+06,1.003158999999999912e+00,1.182000000000000108e-03
2.460093512258999981e+06,1.005381000000000080e+00,1.170999999999999949e-03
2.460093512974000070e+06,1.008437000000000028e+00,1.167000000000000069e-03
2.460093513687999919e+06,9.961520000000000374e-01,1.167000000000000069e-03
2.460093514403000008e+06,1.001349000000000045e+00,1.172999999999999998e-03
2.460093515118000098e+06,1.004815999999999931e+00,1.152999999999999945e-03
2.460093515833000187e+06,9.981480000000000352e-01,1.167000000000000069e-03
2.460093516547000036e+06,9.957099999999999840e-01,1.198999999999999979e-03
2.460093517262000125e+06,9.950790000000000468e-01,1.196999999999999930e-03
2.460093517977000214e+06,9.981849999999999890e-01,1.237999999999999951e-03
2.460093518691000063e+06,1.007913000000000059e+00,1.255999999999999955e-03
2.460093519406000152e+06,1.006440999999999919e+00,1.247000000000000062e-03
2.460093520120000001e+06,1.002891999999999895e+00,1.201000000000000028e-03
2.460093520835000090e+06,9.952689999999999593e-01,1.152000000000000029e-03
2.460093521550000180e+06,9.985380000000000367e-01,1.149999999999999981e-03
2.460093522264000028e+06,1.007311999999999985e+00,1.155999999999999910e-03
2.460093522979000118e+06,9.933060000000000223e-01,1.118999999999999986e-03
2.460093523692999966e+06,1.005438999999999972e+00,1.154999999999999994e-03
2.460093524408000056e+06,9.982710000000000194e-01,1.136000000000000074e-03
2.460093525121999905e+06,9.937289999999999734e-01,1.160999999999999923e-03
2.460093525836999994e+06,9.972280000000000033e-01,1.152999999999999945e-03
2.460093526552000083e+06,9.965159999999999574e-01,1.170000000000000033e-03
2.460093527267000172e+06,9.971830000000000416e-01,1.164000000000000104e-03
2.460093527981000021e+06,1.000231000000000092e+00,1.191000000000000001e-03
2.460093528696000110e+06,1.003001999999999949e+00,1.224999999999999960e-03
2.460093529409999959e+06,9.978139999999999787e-01,1.262000000000000101e-03
2.460093530125000048e+06,9.923269999999999591e-01,1.247999999999999977e-03
2.460093530838999897e+06,1.000945999999999891e+00,1.294999999999999927e-03
2.460093531553999986e+06,9.993030000000000523e-01,1.364999999999999894e-03
2.460093532267999835e+06,9.946810000000000374e-01,1.338999999999999913e-03
2.460093532982999925e+06,9.922769999999999646e-01,1.299999999999999940e-03
2.460093533696999773e+06,9.908689999999999998e-01,1.289999999999999914e-03
2.460093534411999863e+06,9.933440000000000047e-01,1.245999999999999929e-03
2.460093535126000177e+06,1.001532000000000089e+00,1.245000000000000013e-03
2.460093535840999801e+06,9.799139999999999517e-01,1.242000000000000048e-03
2.460093536555000115e+06,9.988289999999999669e-01,1.239000000000000084e-03
2.460093537270000204e+06,9.933640000000000247e-01,1.222999999999999912e-03
2.460093537984000053e+06,9.851649999999999574e-01,1.245999999999999929e-03
2.460093538699000143e+06,9.886150000000000215e-01,1.253999999999999906e-03
2.460093539414000232e+06,9.919660000000000144e-01,1.245999999999999929e-03
2.460093540128000081e+06,9.885089999999999710e-01,1.198000000000000063e-03
2.460093540843000170e+06,9.897799999999999931e-01,1.203000000000000076e-03
2.460093541557000019e+06,9.897510000000000474e-01,1.208000000000000089e-03
2.460093542272000108e+06,9.819660000000000055e-01,1.193999999999999966e-03
2.460093542985999957e+06,9.903530000000000388e-01,1.139999999999999954e-03
2.460093543701000046e+06,9.941849999999999854e-01,1.119999999999999902e-03
2.460093544414999895e+06,9.986840000000000162e-01,1.121999999999999950e-03
2.460093545129999984e+06,9.950740000000000141e-01,1.105000000000000079e-03
2.460093545843999833e+06,9.882260000000000488e-01,1.105000000000000079e-03
2.460093546558999922e+06,9.853969999999999674e-01,1.106999999999999911e-03
2.460093547274000011e+06,9.888500000000000068e-01,1.132999999999999893e-03
2.460093547987999860e+06,9.804720000000000102e-01,1.142000000000000003e-03
2.460093548702999949e+06,9.909120000000000150e-01,1.149999999999999981e-03
2.460093549418000039e+06,9.933220000000000383e-01,1.170000000000000033e-03
2.460093550131999888e+06,1.001352000000000020e+00,1.150999999999999896e-03
2.460093550846999977e+06,1.000749000000000111e+00,1.128000000000000096e-03
2.460093551560999826e+06,9.965469999999999606e-01,1.126999999999999964e-03
2.460093552275999915e+06,9.940660000000000052e-01,1.097000000000000102e-03
2.460093552990000229e+06,9.915030000000000232e-01,1.100000000000000066e-03
2.460093553704999853e+06,9.946760000000000046e-01,1.079000000000000098e-03
2.460093554419000167e+06,9.908810000000000118e-01,1.064000000000000059e-03
2.460093555133999791e+06,9.863790000000000058e-01,1.067999999999999939e-03
2.460093555848999880e+06,9.925140000000000073e-01,1.090999999999999956e-03
2.460093556563999970e+06,9.892069999999999474e-01,1.087999999999999991e-03
2.460093557279000059e+06,9.835599999999999898e-01,1.111000000000000008e-03
2.460093557992999908e+06,9.861579999999999790e-01,1.077000000000000049e-03
2.460093558707999997e+06,9.864399999999999835e-01,1.072999999999999952e-03
2.460093742957999930e+06,9.846759999999999957e-01,9.770000000000000039e-04
2.460093743673000019e+06,9.862250000000000183e-01,9.940000000000000918e-04
2.460093744386999868e+06,9.935220000000000162e-01,1.013999999999999927e-03
2.460093745101999957e+06,9.758449999999999624e-01,1.012000000000000096e-03
2.460093745817000046e+06,9.780020000000000380e-01,1.023999999999999954e-03
2.460093746530999895e+06,9.871180000000000510e-01,1.038999999999999993e-03
2.460093747245999984e+06,9.896740000000000537e-01,1.054999999999999948e-03
2.460093747961000074e+06,9.854659999999999531e-01,1.059999999999999961e-03
2.460093748676000163e+06,1.002259000000000011e+00,1.049999999999999935e-03
2.460093749390000012e+06,9.959280000000000355e-01,1.031000000000000015e-03
2.460093750105000101e+06,9.870170000000000332e-01,1.038999999999999993e-03
2.460093750820000190e+06,9.851739999999999942e-01,1.049000000000000019e-03
2.460093751534000039e+06,9.834939999999999793e-01,1.036000000000000029e-03
2.460093752249000128e+06,9.867899999999999450e-01,1.028999999999999967e-03
2.460093752964000218e+06,9.967059999999999809e-01,1.061000000000000094e-03
2.460093753678000066e+06,9.951879999999999615e-01,1.083999999999999894e-03
2.460093754393000156e+06,9.949339999999999851e-01,1.080000000000000014e-03
2.460093755107999779e+06,9.873159999999999714e-01,1.054999999999999948e-03
2.460093755822999869e+06,9.853910000000000169e-01,1.061000000000000094e-03
2.460093756537000183e+06,9.983109999999999484e-01,1.061000000000000094e-03
2.460093757251999807e+06,9.828599999999999559e-01,1.059999999999999961e-03
2.460093757966000121e+06,9.924420000000000464e-01,1.100000000000000066e-03
2.460093758681000210e+06,9.938069999999999959e-01,1.111999999999999924e-03
2.460093759395999834e+06,9.898470000000000324e-01,1.077000000000000049e-03
2.460093760110999923e+06,9.978089999999999460e-01,1.075000000000000001e-03
2.460093760824999772e+06,9.859470000000000178e-01,1.075999999999999917e-03
2.460093761539999861e+06,9.788369999999999571e-01,1.100999999999999982e-03
2.460093762254999951e+06,9.922269999999999701e-01,1.134000000000000025e-03
2.460093762968999799e+06,9.929559999999999498e-01,1.103000000000000031e-03
2.460093763683999889e+06,9.988970000000000349e-01,1.075999999999999917e-03
2.460093764398999978e+06,9.908479999999999510e-01,1.072999999999999952e-03
2.460093765114999842e+06,9.943910000000000249e-01,1.098999999999999934e-03
2.460093765829000156e+06,9.892830000000000235e-01,1.129000000000000012e-03
2.460093766543999780e+06,9.915549999999999642e-01,1.170999999999999949e-03
2.460093767258999869e+06,9.973619999999999708e-01,1.214000000000000018e-03
2.460093767973999958e+06,9.908689999999999998e-01,1.224000000000000045e-03
2.460093768687999807e+06,1.000723999999999947e+00,1.211000000000000054e-03
2.460093770117999986e+06,9.849649999999999794e-01,1.183000000000000024e-03
2.460093770831999835e+06,9.928350000000000231e-01,1.132999999999999893e-03
2.460093771546999924e+06,9.922029999999999461e-01,1.121000000000000035e-03
2.460093772260999773e+06,9.969310000000000116e-01,1.152000000000000029e-03
2.460093772975999862e+06,9.956869999999999887e-01,1.124999999999999915e-03
2.460093773690000176e+06,9.923920000000000519e-01,1.105999999999999995e-03
2.460093774404999800e+06,9.842159999999999798e-01,1.087999999999999991e-03
2.460093775119999889e+06,9.871069999999999567e-01,1.088999999999999907e-03
2.460093775834000204e+06,9.938700000000000312e-01,1.083999999999999894e-03
2.460093776548999827e+06,9.926589999999999581e-01,1.072999999999999952e-03
2.460093777263000142e+06,9.890179999999999527e-01,1.074000000000000085e-03
2.460093777978000231e+06,9.916519999999999779e-01,1.108000000000000044e-03
2.460093778692999855e+06,9.920170000000000377e-01,1.126999999999999964e-03
2.460093779407000169e+06,9.942560000000000286e-01,1.113000000000000057e-03
2.460093780121999793e+06,9.883459999999999468e-01,1.110000000000000092e-03
2.460093780836999882e+06,9.890940000000000287e-01,1.082000000000000062e-03
2.460093781551000196e+06,9.955019999999999980e-01,1.051999999999999984e-03
2.460093782265999820e+06,9.892929999999999779e-01,1.025000000000000086e-03
2.460093782980000135e+06,9.948500000000000121e-01,1.013000000000000012e-03
2.460093783695000224e+06,9.890689999999999760e-01,9.959999999999999236e-04
2.460093784409000073e+06,9.887610000000000010e-01,9.909999999999999105e-04
2.460093785124000162e+06,9.907979999999999565e-01,1.012000000000000096e-03
2.460093785838999785e+06,9.853549999999999809e-01,1.020000000000000073e-03
2.460093786553000100e+06,9.892760000000000442e-01,1.007000000000000083e-03
2.460093787268000189e+06,9.882109999999999506e-01,9.859999999999998974e-04
2.460093787982999813e+06,9.852400000000000047e-01,9.759999999999999796e-04
2.460093788697000127e+06,9.911640000000000450e-01,9.920000000000000432e-04
2.460093789412000217e+06,9.876859999999999529e-01,9.820000000000000170e-04
2.460093790126999840e+06,9.924300000000000344e-01,9.770000000000000039e-04
2.460093790841999929e+06,9.901809999999999778e-01,9.680000000000000019e-04
2.460093791555999778e+06,9.884579999999999478e-01,9.690000000000000262e-04
2.460093792270999867e+06,9.930790000000000450e-01,9.759999999999999796e-04
2.460093792985000182e+06,9.896080000000000432e-01,9.810000000000001011e-04
2.460093793699999806e+06,9.907599999999999740e-01,9.840000000000000656e-04
2.460093794414000120e+06,9.938879999999999937e-01,9.700000000000000505e-04
2.460093795129000209e+06,9.862410000000000343e-01,9.569999999999999514e-04
2.460093795843000058e+06,9.902260000000000506e-01,9.659999999999999533e-04
2.460093796558000147e+06,9.928040000000000198e-01,9.650000000000000374e-04
2.460093797271999996e+06,9.903560000000000141e-01,9.600000000000000243e-04
2.460093797987000085e+06,9.905059999999999976e-01,9.560000000000000355e-04
2.460093798702000175e+06,9.873659999999999659e-01,9.550000000000000112e-04
2.460093799416000023e+06,9.908869999999999623e-01,9.680000000000000019e-04
2.460093800131000113e+06,9.934659999999999602e-01,9.759999999999999796e-04
2.460093800846000202e+06,9.931179999999999453e-01,9.659999999999999533e-04
2.460093801560000051e+06,9.901189999999999714e-01,9.550000000000000112e-04
2.460093802275000140e+06,9.881619999999999848e-01,9.560000000000000355e-04
2.460093802988999989e+06,9.922469999999999901e-01,9.520000000000000467e-04
2.460093803704000078e+06,9.882959999999999523e-01,9.389999999999999476e-04
2.460093804417999927e+06,9.927169999999999606e-01,9.399999999999999719e-04
2.460093805133000016e+06,9.827399999999999469e-01,9.359999999999999831e-04
2.460093805848000105e+06,9.915840000000000209e-01,9.439999999999999607e-04
2.460093806561999954e+06,9.898839999999999861e-01,9.460000000000000093e-04
2.460093807277999818e+06,9.901480000000000281e-01,9.539999999999999869e-04
2.460093807992999908e+06,9.902919999999999501e-01,9.619999999999999645e-04
2.460093808707999997e+06,9.880910000000000526e-01,9.569999999999999514e-04
2.460093809421999846e+06,9.909219999999999695e-01,9.520000000000000467e-04
2.460093810136999935e+06,9.854330000000000034e-01,9.460000000000000093e-04
2.460093810852000024e+06,9.867660000000000320e-01,9.439999999999999607e-04
2.460093811565999873e+06,9.903600000000000181e-01,9.499999999999999981e-04
2.460093812280999962e+06,9.963600000000000234e-01,9.529999999999999626e-04
2.460093812994999811e+06,9.932490000000000485e-01,9.489999999999999738e-04
2.460093813709999900e+06,9.903659999999999686e-01,9.420000000000000205e-04
2.460093814424999990e+06,9.907190000000000163e-01,9.330000000000000186e-04
2.460093815140000079e+06,9.879559999999999453e-01,9.259999999999999568e-04
2.460093815853999928e+06,9.941309999999999869e-01,9.240000000000000166e-04
2.460093816567999776e+06,9.940419999999999812e-01,9.319999999999999942e-04
2.460093817282999866e+06,9.887299999999999978e-01,9.229999999999999923e-04
2.460093817997999955e+06,9.928179999999999783e-01,9.200000000000000278e-04
2.460093818711999804e+06,9.933089999999999975e-01,9.229999999999999923e-04
2.460093819426999893e+06,9.909270000000000023e-01,9.219999999999999680e-04
2.460093820141999982e+06,9.918299999999999894e-01,9.240000000000000166e-04
2.460093820855999831e+06,9.873549999999999827e-01,9.259999999999999568e-04
2.460093821570999920e+06,9.946460000000000301e-01,9.389999999999999476e-04
2.460093822284999769e+06,9.913610000000000477e-01,9.370000000000000074e-04
2.460093822999999858e+06,9.908740000000000325e-01,9.409999999999999962e-04
2.460093823714999948e+06,9.911759999999999460e-01,9.409999999999999962e-04
2.460093824430000037e+06,9.944570000000000354e-01,9.409999999999999962e-04
2.460093825145000126e+06,9.891980000000000217e-01,9.340000000000000429e-04
2.460093825858999975e+06,9.968949999999999756e-01,9.380000000000000317e-04
2.460093826574000064e+06,9.911919999999999620e-01,9.399999999999999719e-04
2.460093827289000154e+06,9.948869999999999658e-01,9.510000000000000224e-04
2.460093828003000002e+06,9.931429999999999980e-01,9.489999999999999738e-04
2.460093828718000092e+06,9.976880000000000193e-01,9.569999999999999514e-04
2.460093829431999940e+06,9.933469999999999800e-01,9.520000000000000467e-04
